kappa_A,sigma_A,kappa_B,sigma_B,f_B,kappa_mix,sigma_mix,sigma_mixing_rule,S_max,Nd,total_act_frac,activated
0.61,0.07457325,0.1,0.02,0.0,0.61,0.07457325,linear_approximation,0.0026221377428898586,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.1,0.0325,0.0,0.61,0.07457325,linear_approximation,0.0026221377428898586,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.1,0.045,0.0,0.61,0.07457325,linear_approximation,0.0026221377428898586,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.1,0.05750000000000001,0.0,0.61,0.07457325,linear_approximation,0.0026221377428898586,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.1,0.07,0.0,0.61,0.07457325,linear_approximation,0.0026221377428898586,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.2,0.02,0.0,0.61,0.07457325,linear_approximation,0.0026221377428898586,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.2,0.0325,0.0,0.61,0.07457325,linear_approximation,0.0026221377428898586,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.2,0.045,0.0,0.61,0.07457325,linear_approximation,0.0026221377428898586,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.2,0.05750000000000001,0.0,0.61,0.07457325,linear_approximation,0.0026221377428898586,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.2,0.07,0.0,0.61,0.07457325,linear_approximation,0.0026221377428898586,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.30000000000000004,0.02,0.0,0.61,0.07457325,linear_approximation,0.0026221377428898586,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.30000000000000004,0.0325,0.0,0.61,0.07457325,linear_approximation,0.0026221377428898586,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.30000000000000004,0.045,0.0,0.61,0.07457325,linear_approximation,0.0026221377428898586,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.30000000000000004,0.05750000000000001,0.0,0.61,0.07457325,linear_approximation,0.0026221377428898586,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.30000000000000004,0.07,0.0,0.61,0.07457325,linear_approximation,0.0026221377428898586,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.4,0.02,0.0,0.61,0.07457325,linear_approximation,0.0026221377428898586,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.4,0.0325,0.0,0.61,0.07457325,linear_approximation,0.0026221377428898586,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.4,0.045,0.0,0.61,0.07457325,linear_approximation,0.0026221377428898586,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.4,0.05750000000000001,0.0,0.61,0.07457325,linear_approximation,0.0026221377428898586,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.4,0.07,0.0,0.61,0.07457325,linear_approximation,0.0026221377428898586,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.5,0.02,0.0,0.61,0.07457325,linear_approximation,0.0026221377428898586,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.5,0.0325,0.0,0.61,0.07457325,linear_approximation,0.0026221377428898586,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.5,0.045,0.0,0.61,0.07457325,linear_approximation,0.0026221377428898586,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.5,0.05750000000000001,0.0,0.61,0.07457325,linear_approximation,0.0026221377428898586,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.5,0.07,0.0,0.61,0.07457325,linear_approximation,0.0026221377428898586,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.1,0.02,0.1,0.559,0.069115925,linear_approximation,0.002571243352985552,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.1,0.0325,0.1,0.559,0.070365925,linear_approximation,0.002594111974749958,638373012.3967685,0.6368581558776214,True
